geo_type,soato_id,region_code,district_code,year,population,source,deleted
DISTRICT,1733212,UZ-XO,XO-212,2026,188600,SDMX,false
DISTRICT,1733217,UZ-XO,XO-217,2025,218400,SDMX,false
DISTRICT,1733217,UZ-XO,XO-217,2026,223700,SDMX,false
DISTRICT,1733220,UZ-XO,XO-220,2025,210000,SDMX,false
DISTRICT,1733220,UZ-XO,XO-220,2026,214000,SDMX,false
DISTRICT,1733221,UZ-XO,XO-221,2025,60600,SDMX,false
DISTRICT,1733221,UZ-XO,XO-221,2026,61800,SDMX,false
DISTRICT,1733223,UZ-XO,XO-223,2025,201900,SDMX,false
DISTRICT,1733223,UZ-XO,XO-223,2026,205300,SDMX,false
DISTRICT,1733226,UZ-XO,XO-226,2025,158300,SDMX,false
DISTRICT,1733226,UZ-XO,XO-226,2026,161200,SDMX,false
DISTRICT,1733230,UZ-XO,XO-230,2025,183600,SDMX,false
DISTRICT,1733230,UZ-XO,XO-230,2026,186700,SDMX,false
DISTRICT,1733233,UZ-XO,XO-233,2025,125100,SDMX,false
DISTRICT,1733233,UZ-XO,XO-233,2026,127300,SDMX,false
DISTRICT,1733236,UZ-XO,XO-236,2025,93900,SDMX,false
DISTRICT,1733236,UZ-XO,XO-236,2026,95400,SDMX,false
REGION,1726,UZ-TK,,2025,3112800,SDMX,false
REGION,1726,UZ-TK,,2026,3178100,SDMX,false
DISTRICT,1726262,UZ-TK,TK-262,2025,301700,SDMX,false
DISTRICT,1726262,UZ-TK,TK-262,2026,304400,SDMX,false
DISTRICT,1726264,UZ-TK,TK-264,2025,65500,SDMX,false
DISTRICT,1726264,UZ-TK,TK-264,2026,71300,SDMX,false
DISTRICT,1726266,UZ-TK,TK-266,2025,385200,SDMX,false
DISTRICT,1726266,UZ-TK,TK-266,2026,393000,SDMX,false
DISTRICT,1726269,UZ-TK,TK-269,2025,337100,SDMX,false
DISTRICT,1726269,UZ-TK,TK-269,2026,342200,SDMX,false
DISTRICT,1726273,UZ-TK,TK-273,2025,154200,SDMX,false
DISTRICT,1726273,UZ-TK,TK-273,2026,156500,SDMX,false
DISTRICT,1726277,UZ-TK,TK-277,2025,369600,SDMX,false
DISTRICT,1726277,UZ-TK,TK-277,2026,373700,SDMX,false
DISTRICT,1726280,UZ-TK,TK-280,2025,412000,SDMX,false
DISTRICT,1726280,UZ-TK,TK-280,2026,418300,SDMX,false
DISTRICT,1726283,UZ-TK,TK-283,2025,173200,SDMX,false
DISTRICT,1726283,UZ-TK,TK-283,2026,178700,SDMX,false
DISTRICT,1726287,UZ-TK,TK-287,2025,139700,SDMX,false
DISTRICT,1726287,UZ-TK,TK-287,2026,144800,SDMX,false
DISTRICT,1726290,UZ-TK,TK-290,2025,309700,SDMX,false
DISTRICT,1726290,UZ-TK,TK-290,2026,317200,SDMX,false
DISTRICT,1726292,UZ-TK,TK-292,2025,188200,SDMX,false
DISTRICT,1726292,UZ-TK,TK-292,2026,200500,SDMX,false
DISTRICT,1726294,UZ-TK,TK-294,2025,276700,SDMX,false
DISTRICT,1726294,UZ-TK,TK-294,2026,277500,SDMX,false
