code,tin,name_ru
AN-17030014,202286151,Мустакиллик
AN-17030034,202286190,Ормонбек
AN-17030011,202286018,Гуравон
AN-17030058,202286215,Чарогон
AN-17030046,202286319,Обод турмуш
AN-17030036,202286302,Насриддинобод
AN-17030003,202286437,Олчазор
AN-17030033,202286208,Зиёкор
AN-209001,206853535,Боги ерам
AN-209002,202296432,Бостон
AN-209003,202296417,Гузар
AN-209004,206855825,Гулистон
AN-209005,202340156,Гулшан
AN-209006,202296360,Голиб
AN-209007,202540549,Дехконобод
AN-209008,206855041,Дустлик
AN-209009,202296377,Кохинур
AN-209010,202934358,Маданият
AN-209011,202296449,Маориф
AN-209012,206855065,Мехнатобод
AN-209014,206855334,Навроз
AN-209015,201979555,Нурафшон
AN-209016,202296424,Пиллакор
AN-209017,202340149,Сарбон
AN-209018,202319924,Сарик жожа
AN-209020,202559174,Халкобод
AN-209022,206855058,Якка тол
AN-209024,202296392,Янгиобод
AN-17050013,206855342,Мустакилик 15 йиллиги
AN-17050022,202837042,Обод
AN-17050024,202296384,Янги кишок
AN-17050021,202837034,Ховос
AN-17050019,203298516,Давлатобод
AN-210001,202934365,Буюк Турон
AN-210002,202828092,Гулистон
AN-210003,202828124,Кумгузар
AN-210004,202828132,Мирзакалон Исмоилий
AN-210005,203087114,Тошкечик
AN-210006,202995496,Фаровон
AN-210007,202861505,Хонтепа
AN-210008,202828149,Чакар
AN-210009,203077918,Юксалиш
AN-210010,203087098,Байналминал
AN-210011,202828282,Боймахалла
AN-210013,202828228,Кумарик
AN-210017,202828188,Шохгузар
AN-210019,203006309,Какир
AN-210020,202828235,Кашкар
AN-210021,202934373,Навоий
AN-210023,202828250,Сохибкор
AN-210024,202828322,Тинчлик
AN-210025,202828339,Учтепа
AN-210026,203006291,Ширмонбулок
AN-210027,202828354,Баландчек
AN-210028,202828084,Барлос
AN-210029,202823076,Бозорбоши
AN-210030,202823052,Ёрбоши
AN-210031,202828361,Истиклол
AN-210032,202823069,Коприкбоши
AN-210033,202861465,Нефтчилар
AN-210034,202823044,Раиш
AN-210035,202823091,Ривож
AN-210036,202828385,Саноат
AN-210037,202823084,Сойбойи
AN-17040010,202828314,Заргалдок
AN-17040020,203081502,Найман
AN-17040029,203094754,Учкоча
AN-17040034,203087106,Шарк юлдузи
AN-17040008,203081486,Долана
AN-17040024,202828243,Сарвонтeпа
AN-211001,204782024,Акча
AN-211002,203828986,Бойчеки
AN-211004,203828979,Янгичек
AN-211005,203845104,Бозорбоши
AN-211006,203843637,Намуна
AN-211007,203660747,Тошлок
AN-211008,203843644,Туялас
AN-211010,203843620,Софикишлок
AN-211012,204030872,Жалакудук
AN-211013,203649308,Хамзаобод
AN-211014,203685683,Гулистон
AN-211015,203831779,Кесак
AN-211020,203646984,Охунбобоев
AN-211021,203643237,Коштерак
AN-211022,203828994,Достлик
AN-211023,204028098,Янгисор
AN-211024,203643220,Бештол
AN-211025,203660715,Шархончеки
AN-211026,205310396,Котарма
AN-211027,204028081,Бостон
AN-211028,204016105,Корагул
AN-211029,203648672,Ёркишлок
AN-211030,203831762,Каттаполвон
AN-211031,204750720,Киличмозор
AN-211032,203867685,Ургу
AN-211033,203661627,Бешкарам
AN-211035,203646991,Тошховуз
AN-211036,203849984,Кортки
AN-211037,204093938,Олмазор
AN-211039,203660708,Бирлашган
AN-211041,204080409,Кокалам
AN-211042,203649315,Торачеки
AN-211044,203852207,Капа
AN-211045,203647001,Галаба
AN-211046,204080391,Иттифок
AN-211047,203646121,Абдуллабий
AN-211048,203850004,Достонобод
AN-211049,205310389,Маданият
AN-211051,203829004,Ибрат
AN-211052,203646138,Каламбек
AN-211053,203857208,Кадаксин
AN-211054,203660730,Делварзин
AN-211055,204028074,Кашкар
AN-211056,203648689,Кутлуг
AN-211058,204028066,Узбекистон
AN-211059,203650213,Хакикат
AN-211060,203649290,Янги курпа
AN-211061,203828947,Узун куча
AN-211062,203650220,Гайрат
AN-17060042,203852214,Нефтчилар
AN-17060019,204030864,Дункишлок
AN-17060061,205310404,Хасанобод
AN-17060017,204630427,Дeхконобод
AN-17060014,203982077,Куштепа
AN-17060034,203650237,Кораянток
AN-17060059,203828954,Хамза
AN-17060013,203660723,Гозичeки
AN-17060024,203660690,Янги Узбeкистон
AN-17060001,203870034,А.Рахмонов
AN-17060009,204028059,Бузрукхонтора
AN-214002,202805217,Ойбек
AN-214004,202756380,Шодлик
AN-214005,202779756,Иттифок
AN-214006,202756144,Марказ
AN-214008,202801056,Амиртемур
