code,deleted
FA-405043,true
FA-405045,true
FA-405048,true
FA-405049,true
FA-405058,true
FA-405060,true
FA-405066,true
FA-408001,true
FA-408009,true
FA-408014,true
FA-408027,true
FA-412001,true
FA-412002,true
FA-412004,true
FA-412005,true
FA-412007,true
FA-412011,true
FA-412016,true
FA-412020,true
FA-412021,true
FA-412031,true
FA-412045,true
FA-412046,true
FA-412050,true
FA-412051,true
FA-413999,true
FA-414999,true
JI-201004,true
JI-201007,true
JI-201009,true
JI-204021,true
JI-204030,true
JI-209003,true
JI-209010,true
JI-209020,true
JI-209022,true
JI-209029,true
JI-212016,true
JI-212023,true
JI-212025,true
JI-212027,true
JI-212029,true
JI-212037,true
JI-212039,true
JI-212043,true
JI-215001,true
JI-215008,true
JI-218002,true
JI-218007,true
JI-218024,true
JI-220017,true
JI-228001,true
JI-228009,true
JI-235005,true
JI-235008,true
JI-235009,true
JI-235013,true
JI-235025,true
JI-237007,true
JI-238999,true
JI-401009,true
JI-401010,true
JI-401015,true
JI-401016,true
JI-401020,true
JI-401033,true
NG-204001,true
NG-204013,true
NG-204018,true
NG-204020,true
NG-204025,true
NG-204027,true
NG-204028,true
NG-204034,true
NG-204039,true
NG-207001,true
NG-207002,true
NG-207003,true
NG-207006,true
NG-207011,true
NG-207014,true
NG-207016,true
NG-207017,true
NG-207025,true
NG-207026,true
NG-207030,true
NG-207031,true
NG-207035,true
NG-207039,true
NG-207040,true
NG-207042,true
NG-207043,true
NG-207045,true
NG-207051,true
NG-207056,true
NG-207059,true
NG-212003,true
NG-212010,true
NG-212013,true
NG-212018,true
NG-212038,true
NG-212039,true
NG-212040,true
NG-212042,true
NG-216003,true
NG-216012,true
NG-216018,true
NG-216019,true
NG-216021,true
NG-216025,true
NG-216031,true
NG-216037,true
NG-216038,true
NG-216045,true
NG-216053,true
NG-216056,true
NG-219008,true
NG-219009,true
NG-219011,true
NG-219041,true
NG-219050,true
NG-219053,true
NG-219067,true
NG-224012,true
NG-224015,true
NG-224018,true
NG-224028,true
NG-224033,true
NG-224042,true
NG-224044,true
NG-224049,true
NG-229004,true
NG-229005,true
NG-229007,true
NG-229033,true
NG-229038,true
NG-229040,true
NG-229046,true
NG-234018,true
NG-234021,true
NG-234023,true
NG-234029,true
NG-234043,true
NG-234054,true
NG-234056,true
NG-236007,true
NG-236015,true
NG-236022,true
NG-236025,true
NG-236033,true
NG-236038,true
NG-236040,true
NG-236044,true
NG-236046,true
NG-237031,true
NG-237034,true
